candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P20002283,2012,"WILLIAMS, KENT LIONEL",REPUBLICAN PARTY,Challenger,P,1647.00,0.00,0.00,{C00498428},2011-06-25 00:00:00,C00498428,KENT L WILLIAMS FOR PRESIDENT
P20002291,2012,"LAPORTE, DANY",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00487728},,C00487728,DANY LAPORTE COMMITTEE
P20002317,2012,"GREY, JAMES",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00488635},,C00488635,FRIENDS OF JAMES GREY 2012
P20002325,2012,"DAVIS, L JOHN JR",REPUBLICAN PARTY,Challenger,P,444348.88,444348.17,0.00,{C00489633},2012-11-30 00:00:00,C00489633,JOHN DAVIS FOR PRESIDENT
P20002333,2012,"HASTINGS, ANDREW CLAY",UNKNOWN,Challenger,P,0.0,0.0,0.0,{C00489666},,C00489666,ANDREW HASTINGS GIMP FOR PRESIDENT
P20002341,2012,"ROZELLE, DAN W",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00490060},,C00490060,COMMITTEE TO ELECT DAN W ROZELLE PRESIDENT
P20002366,2012,"JONES, RICKEY KENNETH",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00491035},,C00491035,"COMMITTEE TO ELECT R. KENNETH JONES, PRESIDENT OF THE UNITED STATES OF AMERICA "
P20002374,2012,"ARAGON, DAVID G",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00491902},,C00491902,ARAGON FOR PRESIDENT 2012
P20002390,2012,"CISNEROS, CESAR",REPUBLICAN PARTY,Challenger,P,6796.00,6795.00,0.00,{C00492009},2012-12-31 00:00:00,C00492009,CESAR CISNEROS FOR PRESIDENT OF THE UNITED STATES OF AMERICA
P20002408,2012,"TUBBS, ANTHONY",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00492017},,C00492017,TUBBS4PRESIDENT2012
P20002416,2012,"LARSON, DAVID ANDREW",AMERICAN INDEPENDENT PARTY,Challenger,P,0.0,0.0,0.0,{C00492199},,C00492199,PEOPLE FOR DAVID A LARSON
P20002424,2012,"TERRY, RANDALL A",INDEPENDENT,Challenger,P,509814.27,502083.04,7731.23,{C00492371},2012-12-31 00:00:00,C00492371,RANDALL TERRY FOR PRESIDENT CAMPAIGN COMMITTEE
P20002432,2012,"MANLEY, MICHAEL J",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00492447},,C00492447,MICHAEL J MANLEY FOR PRESIDENT 2012
P20002440,2012,"DENAME, MICHAEL JR",NONE,Challenger,P,0.0,0.0,0.0,{C00492546},,C00492546,"DENAME, MICHAEL JR"
P20002457,2012,"PARMELE, JOHN OSCIAN JR",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00492710},,C00492710,PARMELE FOR PRESIDENT
P20002481,2012,"RAMOS, LUIS ALBERTO JR",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00492694},,C00492694,RAMOS FOR AMERICA
P20002499,2012,"DUMMETT, JOHN ALBERT JR",REPUBLICAN PARTY,Challenger,P,444.00,335.00,109.00,{C00492744},2011-09-30 00:00:00,C00492744,JOHN DUMMETT FOR PRESIDENT COMMITTEE
P20002507,2012,"PHILLIPS, ALAN G ",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00492926},,,
P20002515,2012,"MCCORMICK, RICHARD S",OTHER,Challenger,P,0.0,0.0,0.0,{C00492900},,C00492900,KIS PARTY OF WASHINGTON STATE
P20002523,2012,"ROEMER, CHARLES E. ''BUDDY'' III",OTHER,Challenger,P,780900.91,739453.36,41447.55,{C00493692},2012-12-31 00:00:00,C00493692,"BUDDY ROEMER FOR PRESIDENT, INC."
P20002531,2012,"NELSON, KEVIN MICHAEL",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00493973},,C00493973,KEVIN NELSON 2012
P20002556,2012,"PAWLENTY, TIMOTHY",REPUBLICAN PARTY,Challenger,P,5965502.16,5965502.16,0.00,{C00494393},2012-03-31 00:00:00,C00494393,PAWLENTY FOR PRESIDENT
P20002564,2012,"KARGER, FRED",REPUBLICAN PARTY,Challenger,P,588437.17,591271.90,0.00,{C00494443},2012-07-20 00:00:00,C00494443,FRED KARGER FOR PRESIDENT
P20002580,2012,"CHEHADE, PAUL",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00494963},,C00494963,PAUL CHEHADE NATIONAL ELECTION COMMITTEE
P20002598,2012,"BLANKENSHIP, JARED",REPUBLICAN PARTY,Challenger,P,40666.17,38655.95,2091.82,{C00494823},2012-12-31 00:00:00,C00494823,JARED BLANKENSHIP FOR PRESIDENT
P20002606,2012,"LEVETIN, MARK",DEMOCRATIC PARTY,Challenger,P,0.00,0.00,0.00,{C00494872},2011-05-10 00:00:00,C00494872,LEVETIN FOR PRESIDENT
