candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P40000259,1984,"STEWART, FRANK MRS",DEMOCRATIC PARTY,,P,734.00,1666.00,0.0,{C00164442},1984-06-30 00:00:00,C00164442,STEWART PRESIDENTIAL CLUB
P40000267,1984,"MONDALE, WALTER F",DEMOCRATIC PARTY,,P,82879728.00,79040445.00,0.0,"{C00164608,C00186296,C00186304,C00189886}",1984-12-31 00:00:00,C00186296,MONDALE/FERRARO COMMITTEE INC
P40000275,1984,"ARNDT, RUSSELL LEE",DEMOCRATIC PARTY,,P,1307.00,2246.00,0.0,{C00164616},1985-01-31 00:00:00,C00164616,COMMITTEE ELECT RUSSELL LEE ARNDT PRES OF US
P40000283,1984,"BUCHANAN, WALTER RALPH REV",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00165266},,C00165266,"JOHN L HARRIS, REGINALD SMITH, BARBARA PATTON, UNA CAPLAN"
P40000291,1984,"GLENN, JOHN",DEMOCRATIC PARTY,,P,14096528.00,14051781.00,0.0,{C00164855},1984-12-31 00:00:00,C00164855,FRIENDS OF JOHN GLENN
P40000309,1984,"HUFF, J HAROLD",DEMOCRATIC PARTY,,P,53149.00,54315.00,0.0,{C00164871},1984-12-31 00:00:00,C00164871,COMMITTEE TO ELECT HAROLD HUFF PRESIDENT USA 1984 INC (PRINCIPAL CAMPAIGN COMMITTEE)
P40000317,1984,"ROLLINSON, RAY",DEMOCRATIC PARTY,,P,15051.00,30749.00,0.0,{C00164889},1984-12-31 00:00:00,C00164889,RAY ROLLINSON FOR PRESIDENT COMMITTEE
P40000325,1984,"WILLIS, NOAH GERALD",DEMOCRATIC PARTY,,P,143505.00,143274.00,0.0,{C00164897},1984-12-31 00:00:00,C00164897,GERALD WILLIS FOR U S PRESIDENT
P40000358,1984,"HOLLINGS, ERNEST F",DEMOCRATIC PARTY,,P,2789323.00,2772352.00,0.0,{C00164962},1984-12-31 00:00:00,C00164962,"HOLLINGS FOR PRESIDENT, INC."
P40000374,1984,"ARNOLD, LAVERN ROMMAL",INDEPENDENT,,P,0.0,0.0,0.0,{C00165068},,C00165068,LAVERN R ARNOLD
P40000382,1984,"OGIN, FREDERICK EUGENE",REPUBLICAN PARTY,,P,0.00,0.00,0.0,{C00165118},1984-12-31 00:00:00,C00165118,FREDERICK E OGIN
P40000416,1984,"SAGAN, CYRIL E",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00165258},,C00165258,SAGAN FOR PRESIDENT
P40000432,1984,"MASTERS, JOHN PAUL JR",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00165332},,C00165332,JOHN PAUL MASTERS JR FOR PRESIDENT
P40000440,1984,"POOLE, JAMES THOMAS",REPUBLICAN PARTY,,P,5571.00,5571.00,0.0,{C00165464},1984-11-26 00:00:00,C00165464,JAMES THOMAS POOLE PRESIDENTIAL COMMITTEE
P40000457,1984,"ARBIT, STEVEN MARK",INDEPENDENT,,P,0.00,0.00,0.0,{C00165506},1983-04-02 00:00:00,C00165506,ARBIT ELECTION COMMITTEE
P40000465,1984,"DEFOSSE, DANIEL G",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00165696},,C00165696,COMMITTEE TO ELECT DAN DEFOSSE
P40000473,1984,"DOTY, CHARLES RICHARD",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00165886},,C00165886,CHARLES R DOTY FOR PRESIDENT COMMISSION
P40000481,1984,"HAMBURG, AL",DEMOCRATIC PARTY,,P,875.00,875.00,0.0,{C00165894},1983-03-31 00:00:00,C00165894,WAR VETERANS AGAINST NUCLEAR WEAPONS
P40000499,1984,"CRUZ, ROBERT F",DEMOCRATIC PARTY,,P,0.00,0.00,0.0,{C00165977},1984-01-31 00:00:00,C00165977,COMMITTEE TO ELECT ROBERT F CRUZ
P40000507,1984,"BURNS, EUGENE MORLEY",LIBERTARIAN PARTY,,P,0.0,0.0,0.0,{C00166215},,C00166215,GENE BURNS CAMPAIGN COMMITTEE
P40000515,1984,"KYLE, DALE HARBOR",DEMOCRATIC PARTY,,P,198.00,16348.00,0.0,"{C00167080,C00171223}",1984-10-15 00:00:00,C00167080,KYLE FOR PRESIDENT '84
P40000531,1984,"DUKE, WILLIE GEORGE (REV)",DEMOCRATIC PARTY,,P,0.00,0.00,0.0,{C00167148},1983-10-15 00:00:00,C00167148,REV WILLIE G DUKE FOR PRESIDENT
P40000549,1984,"GARCIA, THOMAS NIEL",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00167155},,C00167155,NATIONAL ORGANIZATION OF VOTING AMERICANS
P40000564,1984,"KREML, WILLIAM P",DEMOCRATIC PARTY,,P,25109.00,25105.00,0.0,"{C00167353,C00171546}",1984-04-15 00:00:00,C00167353,COMMITTEE FOR KREML FOR PRESIDENT
P40000572,1984,"ORNSTEIN, RAPHAEL MD",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00167445},,C00167445,COMMITTEE TO ELECT RAPHAEL ORNSTEIN MD PRES
P40000598,1984,"HUBBARD, BARBARA MARX",DEMOCRATIC PARTY,,P,234426.00,235875.00,0.0,{C00167650},1984-12-31 00:00:00,C00167650,COMMITTEE FOR A POSITIVE FUTURE FOR BARBARA MARX HUBBARD FOR VICE-PRESIDENT
P40000606,1984,"DAKIN, SUSANNA",DEMOCRATIC PARTY,,P,68039.00,68446.00,0.0,{C00167924},1984-03-31 00:00:00,C00167924,SUSAN DAKIN: AN ARTIST FOR PRESIDENT
P40000622,1984,"GRAVES, SAMUEL LEE DR",DEMOCRATIC PARTY,,P,4.00,4.00,0.0,{C00168146},1985-01-31 00:00:00,C00168146,CHURCH OF GOD POLITICAL ACTION COMMITTEE; THE (TCG PAC)
P40000648,1984,"WINN, ROBERT BRYANT",UNKNOWN,,P,0.00,0.00,0.0,{C00168153},1985-01-31 00:00:00,C00168153,ROBERT B WINN (PCC)
P40000655,1984,"KOSISKY, DANIEL FRANCIS CHRIST MR",DEMOCRATIC PARTY,,P,0.00,0.00,0.0,{C00168138},1984-12-31 00:00:00,C00168138,DEMOCRATIC (PCC KOSISKY)
P40000663,1984,"WULFORST, WILLIAM JOSEPH",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00168088},,C00168088,PRESIDENTIAL ELECTION COMMITTEE FOR WILLIAM JOSEPH WULFORST (WULF 84)
P40000697,1984,"BUMPERS, DALE",NO PARTY AFFILIATION,,P,0.0,0.0,0.0,{C00168419},,C00168419,SENATOR DALE BUMPERS 1986 RE-ELECTION COMMITTEE
P40000713,1984,"BARTON, WILLIAM JAMES COMMODORE",REPUBLICAN PARTY,,P,0.0,0.0,0.0,{C00168492},,C00168492,AINIAD HEAVEN
P40000721,1984,"ROOSEVELT, ROBERT J",DEMOCRATIC PARTY,,P,0.00,0.00,0.0,{C00169086},1983-09-30 00:00:00,C00169086,COMMITTEE TO ELECT ROOSEVELT
P40000754,1984,"ELIJAH, PROPHET",INDEPENDENT,,P,1060.00,1060.00,0.0,{C00171264},1983-12-31 00:00:00,C00171264,PROPHET ELIJAH FOR PRESIDENT
P40000770,1984,"BLACK, EARL EDWARD",INDEPENDENT,,P,0.00,0.00,0.0,{C00169243},1984-01-01 00:00:00,C00169243,E E BLACK PRESIDENTIAL CAMP COMM
P40000788,1984,"PRICE, ERIC LINDSAY SR",UNKNOWN,,P,100000.00,100.00,0.0,{C00169250},1984-02-29 00:00:00,C00169250,POLITICAL (PCC FOR PRICE)
P40000812,1984,"TRENT, PAUL EDWARD",INDEPENDENT,,P,0.00,0.00,0.0,{C00169896},1984-04-05 00:00:00,C00169896,NON-COMMITTEE TO ELECT PAUL E TRENT PRESIDENT IN 1984
P40000838,1984,"DAVIS, STERLING P",DEMOCRATIC PARTY,,P,11.00,0.00,0.0,{C00170134},1984-06-21 00:00:00,C00170134,COMMITTEE TO ELECT STERLING P DAVIS PRESIDENT OF USA
P40000846,1984,"BERGLAND, DAVID",LIBERTARIAN PARTY,,P,655724.00,635918.00,0.0,"{C00170266,C00180133,C00181917,C00185348,C00186916,C00186924,C00188151}",1985-01-26 00:00:00,C00170266,BERGLAND FOR PRESIDENT
P40000853,1984,"MASTERS, ISABELL DR",UNKNOWN,,P,12224.00,12224.00,0.0,{C00170399},1984-12-31 00:00:00,C00170399,COMM TO ELECT DR ISABELL MASTERS FOR PRES
P40000861,1984,"GERBIG, GERALD M",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00170548},,C00170548,CAMPAIGN COMMITTEE TO ELECT GERALD GERBIG
P40000879,1984,"JOHNSON, SONIA",CITIZENS' PARTY,,P,454263.00,441681.00,0.0,"{C00171728,C00189092}",1984-12-31 00:00:00,C00189092,SONIA JOHNSON-CITIZEN FOR PRESIDENT (GENERAL ELECTION)
P40000887,1984,"GOODIN, DYKE DR",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00170738},,C00170738,COMMITTEE TO ELECT GOODIN/1984
P40000895,1984,"FLYNT, LARRY",REPUBLICAN PARTY,,P,0.00,0.00,0.0,{C00171025},1983-09-30 00:00:00,C00171025,LARRY FLYNT FOR PRESIDENT COMMITTEE
P40000903,1984,"BURDETTE, NATHAN",INDEPENDENT,,P,0.00,0.00,0.0,{C00171132},1984-10-15 00:00:00,C00171132,NATHAN BURDETTE FOR PRESIDENT COMMITTEE
P40000945,1984,"CHILDERS, PEGGY ANN",DEMOCRATIC PARTY,,P,270.00,20548.00,0.0,{C00171769},1984-08-31 00:00:00,C00171769,PEGGY ANN CHILDERS FOR PRESIDENT
P40000952,1984,"KAY, RICHARD B",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00171629},,C00171629,KAY FOR PRESIDENT COMMITTEE
P40000978,1984,"STEWARD, ALPHONSO DEWITT",DEMOCRATIC PARTY,,P,0.00,27923.00,0.0,{C00172700},1984-07-15 00:00:00,C00172700,STUDENTS FOR ADS PROJECT LOVE (A MASTERS PEACE)
P40001000,1984,"BOST, ERNEST WILLIAM",REPUBLICAN PARTY,,P,0.0,0.0,0.0,{C00172080},,C00172080,ERNEST WILLIAM BOST
P40001018,1984,"JACKSON, JESSE L",DEMOCRATIC PARTY,,P,9852186.00,9755125.00,0.0,"{C00172239,C00173435,C00177386}",1984-12-31 00:00:00,C00172239,JESSE JACKSON FOR PRESIDENT
P40001034,1984,"SERRETTE, DENNIS L",UNKNOWN,,P,192971.00,190146.00,0.0,"{C00172171,C00172189,C00177014}",1984-12-31 00:00:00,C00177014,INDEPENDENTS FOR DENNIS SERRETTE
P40001042,1984,"HURLEY, WILLIAM H",DEMOCRATIC PARTY,,P,1454.00,1135.00,0.0,{C00174045},1984-11-30 00:00:00,C00174045,WILLIAM H HURLEY
P40001059,1984,"EAGLES, MIKE",REPUBLICAN PARTY,,P,0.0,0.0,0.0,{C00172213},,C00172213,MIKE EAGLES FOR PRESIDENT
P40001067,1984,"KOEBEL, LAWRENCE F JR",INDEPENDENT,,P,10.00,10.00,0.0,{C00172312},1984-04-15 00:00:00,C00172312,COMMITTEE TO ELECT J R KOEBEL
P40001075,1984,"CAMPS, WILLIAM ALLEN",UNKNOWN,,P,0.00,0.00,0.0,{C00172320},1983-12-31 00:00:00,C00172320,PAN-AMERICAN PARTY
P40001083,1984,"ROBINO, JOSEPH THOMAS JR",UNKNOWN,,P,0.0,0.0,0.0,{C00172338},,C00172338,PEACE 3 COMMITTEE
P40001091,1984,"ROBOT, REBECCA",INDEPENDENT,,P,0.00,0.00,0.0,{C00172544},1984-01-31 00:00:00,C00172544,REBECCA ROBOT FOR PRESIDENT COMMITTEE
P40001117,1984,"LIEBENBERG, RAYMOND 'V' DC",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00172825},,C00172825,RAY LIEBENBERG DC FOR PRESIDENT
P40001125,1984,"PORTER, ANDREW JEFFREY",DEMOCRATIC PARTY,,P,2325.00,5125.00,0.0,{C00172890},1984-10-15 00:00:00,C00172890,ANDREW PORTER FOR PRESIDENT COMMITTEE
P40001133,1984,"SCHMIDT, SUSANNE EDITH",UNKNOWN,,P,0.00,0.00,0.0,{C00173187},1984-03-30 00:00:00,C00173187,FRIENDS OF SUSANNE SCHMIDT
P40001141,1984,"DIERLAM, JESSE HOWELL",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00173427},,C00173427,COMMITTEE TO ELECT JESSE HOWELL DIERLAM FOR PRESIDENT OF/USA
P40001158,1984,"COYOTE, WOOFER D",INDEPENDENT,,P,0.0,0.0,0.0,{C00173443},,C00173443,COMMITTEE TO PROTECT COYOTES FROM DEATH BY POISON AND NUCLEAR WAR
P40001166,1984,"VINCENT, EDWARD JESSE",DEMOCRATIC PARTY,,P,0.00,0.00,0.0,{C00173625},1984-12-31 00:00:00,C00173625,COMMITTEE TO ELECT EDWARD JESSE VINCENT
P40001174,1984,"ADASKIN, DAVID R",INDEPENDENT,,P,0.0,0.0,0.0,{C00173641},,C00173641,COMMITTEE TO ELECT DAVID ADASKIN
P40001182,1984,"SHIGETA, RONALD T",INDEPENDENT,,P,0.0,0.0,0.0,{C00173716},,C00173716,RONALD T SHIGETA FOR PRESIDENT OF THE UNITED STATES
P40001190,1984,"KOCZAK, STEPHEN A",DEMOCRATIC PARTY,,P,8038.00,8039.00,0.0,{C00182147},1984-12-31 00:00:00,C00182147,KOCZAK FOR PRESIDENT COMMITTEE
P40001208,1984,"POUSQUET, NORMAN JOSEPH",UNKNOWN,,P,0.0,0.0,0.0,{C00173922},,C00173922,NORMAN JOSEPH POUSQUET
P40001232,1984,"KIRKPATRICK, FREDERICK DOUGLASS REV",UNKNOWN,,P,0.0,0.0,0.0,{C00174250},,C00174250,COMMITTEE TO ELECT REV F D KIRKPATRICK PRESIDENT
P40001240,1984,"GARRY, KATHERINE M (VICE-PRESIDENT)",UNKNOWN,,P,0.0,0.0,0.0,{C00174250},,C00174250,COMMITTEE TO ELECT REV F D KIRKPATRICK PRESIDENT
P40001273,1984,"HARRINGTON, JOSEPH D",INDEPENDENT,,P,0.00,0.00,0.0,{C00174409},1984-11-16 00:00:00,C00174409,MR JOSEPH D HARRINGTON
P40001299,1984,"BECKMAN, MARTIN JAMES",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00174417},,C00174417,BECKMAN FOR PRESIDENT COMMITTEE
P40001315,1984,"OWENS, ZELMA FAYE",DEMOCRATIC PARTY,,P,6700.00,4947.00,0.0,{C00174912},1984-04-15 00:00:00,C00174912,PRESOWENS '84 (PCC OWENS)
P40001323,1984,"MASON, MEL",SOCIALIST WORKERS PARTY,,P,182610.00,171976.00,0.0,{C00175802},1984-12-31 00:00:00,C00175802,SOCIALIST WORKERS PRESIDENTIAL CAMPAIGN COMMITTEE
P40001356,1984,"HOLMES, LARRY",UNKNOWN,,P,16067.00,14254.00,0.0,{C00175638},1984-12-31 00:00:00,C00175638,WORKERS WORLD PARTY PRESIDENTIAL CAMPAIGN COMMITTEE
P40001364,1984,"LARIVA, GLORIA (V-P)",UNKNOWN,,P,16067.00,14254.00,0.0,{C00175638},1984-12-31 00:00:00,C00175638,WORKERS WORLD PARTY PRESIDENTIAL CAMPAIGN COMMITTEE
P40001372,1984,"GULLETTE, JOHN DEWAYNE",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00176172},,C00176172,GULLETTE FOR PRESIDENT
P40001380,1984,"SAUNDERS, BOBBY",INDEPENDENT,,P,0.0,0.0,0.0,{C00176495},,C00176495,BOBBY SAUNDERS FOR PRESIDENT
P40001398,1984,"BREED, CHARLES A",UNKNOWN,,P,604.00,4628.00,0.0,{C00176503},1984-10-15 00:00:00,C00176503,COMMITTEE TO ELECT CHARLES A BREED FOR PRESIDENT
P40001406,1984,"CLAUSON, JAMES R",INDEPENDENT,,P,0.0,0.0,0.0,{C00176958},,C00176958,COMMITTEE FOR ELECTION OF JAMES R CLAUSON
P40001414,1984,"WAGNER, LAWRENCE PAUL",UNKNOWN,,P,1200.00,1200.00,0.0,{C00176966},1984-04-15 00:00:00,C00176966,COMMITTEE TO ELECT WAGNER
P40001422,1984,"FINERTY, JOSEPH M",INDEPENDENT,,P,0.00,0.00,0.0,{C00176974},1984-12-31 00:00:00,C00176974,COMMITTEE TO ELECT JOE FINERTY PRESIDENT OF THE UNITED STATES
P40001430,1984,"GLOVER, MILDRED DR",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00177253},,C00177253,MILDRED GLOVER PRESIDENTIAL COMMITTEE
