Date, Open, High, Low, Close, Volume
11/7/2018,68.668,70.236,68.16,69.632,36872604.45
11/6/2018,67.814,69.76,67.218,68.212,33814444.49
11/5/2018,68.1,68.791,66.028,68.28,39155239.41
11/2/2018,68.748,69.84,68.182,69.282,39039859.41
11/1/2018,67.652,69.568,66.945,68.856,40000659.4
10/31/2018,66.508,68.4,65.82,67.464,38121739.43
10/30/2018,65.678,67.58,64.452,65.98,45633519.32
10/29/2018,67.494,69.432,65.3,66.97,72430153.91
10/26/2018,61.65,67.98,61.33,66.18,137127597.9
10/25/2018,63.444,64.2,60.202,62.972,104203603.4
10/24/2018,60.21,60.888,57.146,57.7,100291298.5
10/23/2018,52.774,59.586,52.42,58.828,95138748.57
10/22/2018,52.136,52.372,50.518,52.19,28001299.58
10/19/2018,53.478,53.932,50.7,52,46877744.3
10/18/2018,53.858,54.2,52.6,52.782,27105919.59
10/17/2018,56.48,56.54,53.1606,54.356,43277709.35
10/16/2018,53.14,55.475,52.448,55.318,47632004.29
10/15/2018,51.812,52.656,50.9073,51.918,30999824.54
10/12/2018,52.2,52.398,50.402,51.756,36007019.46
10/11/2018,51.506,52.45,49.806,50.446,40838684.39
10/10/2018,52.922,53.102,49.554,51.376,64076399.04
10/9/2018,51.05,53.354,50.66,52.56,60302849.1
10/8/2018,52.904,53.552,49.8,50.112,67363248.99
10/5/2018,54.93,54.976,52,52.39,89722693.65
10/4/2018,58.79,58.8,55.534,56.366,49071059.26
10/3/2018,60.666,60.92,58.314,58.96,39974939.4
10/2/2018,62.79,63.368,59.83,60.204,58717549.12
10/1/2018,61.154,62.288,60.21,62.14,108887998.4
9/28/2018,54.052,55.6,52.111,52.954,168248437.5
9/27/2018,62.58,62.992,61.382,61.504,42545419.36
9/26/2018,60.382,62.778,60.2219,61.916,39216079.41
9/25/2018,60,60.92,59.3,60.198,22408644.66
9/24/2018,59.696,60.5999,58.716,59.936,24214804.64
9/21/2018,59.54,60.116,59.074,59.82,25252389.62
9/20/2018,60.712,61.196,58.666,59.666,36747104.45
9/19/2018,56.102,60,56.1,59.804,41474584.38
9/18/2018,59.338,60.528,55.1,56.992,82737598.76
9/17/2018,58.008,60.174,57.626,58.968,34437884.48
9/14/2018,57.752,59.4651,57.304,59.04,33828059.49
9/13/2018,57.604,59,57.036,57.892,31701679.52
9/12/2018,56.288,58.5,55.7293,58.108,50077149.25
9/11/2018,55.894,56.4,54.71,55.888,45849944.31
9/10/2018,54.652,57.206,54.2,57.1,71417648.93
9/7/2018,52.02,53.67,50.451,52.648,112459648.3
9/6/2018,56.96,58.234,55.776,56.19,37403799.44
9/5/2018,57.01,57.356,55.436,56.148,38604104.42
9/4/2018,59.388,59.638,57.6,57.79,41752344.37
8/31/2018,60.4,61.0616,59.72,60.332,26875519.6
8/30/2018,60.452,60.92,59.544,60.63,36083529.46
8/29/2018,62.054,62.37,60.738,61.002,37236959.44
8/28/2018,63.682,63.776,62.238,62.372,38245454.43
8/27/2018,63.6,64.487,61.762,63.854,65396449.02
8/24/2018,64.14,64.77,63.88,64.564,18012819.73
8/23/2018,63.828,65.464,63.62,64.02,25736429.61
8/22/2018,64.174,64.776,62.934,64.328,29729774.55
8/21/2018,62.122,64.958,61.8,64.38,65861149.01
8/20/2018,58.3408,61.7,57.64,61.688,87011698.69
8/17/2018,64.7,65.354,60.706,61.1,94793043.58
8/16/2018,67.982,68.456,66.764,67.09,30320164.55
8/15/2018,68.3812,68.898,66.428,67.738,45506289.32
8/14/2018,71.69,71.8399,69.42,69.528,34932139.48
8/13/2018,72.226,72.638,69.804,71.282,52319399.22
8/10/2018,70.8,72,69.2,71.098,57760199.13
8/9/2018,73.11,73.402,69.146,70.49,85919053.71
8/8/2018,73.818,76.528,73.424,74.068,122855798.2
8/7/2018,68.768,77.492,67.83,75.914,154378847.7
8/6/2018,69.092,70.996,68.364,68.398,42821654.36
8/3/2018,69.562,71,68.506,69.634,68282448.98
8/2/2018,65.688,69.998,64.632,69.908,116074803.3
8/1/2018,59.598,60.6,58.6,60.168,50647149.24
7/31/2018,58.45,59.664,57.814,59.628,25384579.62
7/30/2018,59.18,59.22,57.226,58.034,34070359.49
7/27/2018,61.45,61.5387,59.0681,59.436,28516629.57
7/26/2018,60.97,62.14,60.7282,61.33,23152609.65
7/25/2018,59.348,61.924,58.9005,61.748,35470899.47
7/24/2018,60.8842,61.5434,58.509,59.486,47953919.28
7/23/2018,60.368,61.1,58.572,60.64,54964749.18
7/20/2018,64.246,64.648,62.3419,62.716,25832734.61
7/19/2018,63.266,64.708,62.802,64.046,29576724.56
7/18/2018,65,65.1,63.25,64.77,28121054.58
7/17/2018,61.762,64.948,61.7,64.538,34981159.48
7/16/2018,62.342,63.032,61.25,62.02,39093274.41
7/13/2018,63.116,63.917,61.85,63.774,29378849.56
7/12/2018,64.286,64.646,62.554,63.342,28605829.57
7/11/2018,63.16,64.388,63.014,63.792,24420379.63
7/10/2018,64.912,65.5354,63.84,64.494,47357489.29
7/9/2018,62.398,63.704,61.6,63.702,37983764.43
7/6/2018,60.991,62.414,60.4,61.78,44327254.34
7/5/2018,62.752,62.878,59.244,61.832,87381843.69
7/3/2018,66.35,66.498,61.938,62.172,61413199.08
7/2/2018,72.014,72.956,65.97,67.014,93798848.59
6/29/2018,70.666,70.772,68.482,68.59,32461979.51
6/28/2018,69.732,71.404,69.222,69.986,41990024.37
6/27/2018,69,70.158,67.9,68.9,41668639.37
6/26/2018,67.2108,68.71,65.1598,68.4,37262434.44
6/25/2018,66.024,67.694,65.5,66.602,34656519.48
6/22/2018,70.308,70.45,66.4,66.726,51330299.23
6/21/2018,72.4,73.2428,69.254,69.502,39835724.4
6/20/2018,71.608,72.876,70.4,72.444,41918279.37
6/19/2018,73.032,74,69.25,70.51,63809499.04
6/18/2018,71.08,74.746,70.9,74.166,60366149.09
6/15/2018,70.768,72.934,70.25,71.634,54241249.19
6/14/2018,69.526,71.75,69.32,71.544,54905099.18
6/13/2018,69.3412,69.44,67.96,68.956,47349019.29
6/12/2018,68.94,70.994,67.6,68.554,111736998.3
6/11/2018,64.502,66.932,64.5,66.42,65917349.01
6/8/2018,63.8,64.896,63.43,63.532,41026004.38
6/7/2018,63.23,66,62.716,63.218,71726353.92
6/6/2018,60.1,64.434,59.496,63.9,93836348.59
6/5/2018,59.54,59.56,57.348,58.226,29975784.55
6/4/2018,58.868,59.8,58.7096,59.348,23989049.64
6/1/2018,57.172,58.39,56.7678,58.364,27121929.59
5/31/2018,57.442,58.074,56.586,56.946,29598604.56
5/30/2018,56.658,59.001,56.32,58.344,37448429.44
5/29/2018,55.702,57.3,55.23,56.752,28333199.58
5/25/2018,55.525,55.928,55.122,55.77,19375409.71
5/24/2018,55.68,56.222,54.978,55.57,20883539.69
5/23/2018,55.552,55.982,54.8,55.814,29925264.55
5/22/2018,57.5524,57.6,54.6844,55.002,44728779.33
5/21/2018,56.266,58.298,56.26,56.898,45912854.31
5/18/2018,56.93,56.93,54.8,55.364,36259439.46
5/17/2018,57.18,57.8375,56.794,56.908,22103059.67
5/16/2018,56.766,57.762,56.312,57.296,28370094.57
5/15/2018,57.002,57.392,56.1,56.836,47595539.29
5/14/2018,60.664,60.988,58.324,58.394,36434019.45
5/11/2018,61.54,61.776,59.816,60.212,23398244.65
5/10/2018,61.4999,62.598,60.8224,61.004,28257804.58
5/9/2018,60.082,61.402,60.01,61.37,28636824.57
5/8/2018,60.159,61.55,59.8,60.394,29649999.56
5/7/2018,59.5,61.1918,59.034,60.554,43391119.35
5/4/2018,56.6,59.372,55.904,58.818,42846769.36
5/3/2018,55.758,57.608,55.046,56.89,86760653.7
5/2/2018,59.714,61.37,59.5569,60.23,44851849.33
5/1/2018,58.702,60.164,58.644,59.984,23128014.65
4/30/2018,58.722,59.746,58.5,58.78,21140859.68
4/27/2018,57.074,58.894,56.766,58.815,21823129.67
4/26/2018,55.75,57.158,55.3,57.096,21780064.67
4/25/2018,56.7,57.032,55.45,56.138,20067869.7
4/24/2018,57,57.418,55.692,56.692,28426539.57
4/23/2018,58.258,58.324,56.466,56.674,24466889.63
4/20/2018,59.034,59.996,57.95,58.048,28139639.58
4/19/2018,58.216,60.202,57.71,60.016,30452994.54
4/18/2018,58.216,60.048,57.632,58.67,32788499.51
4/17/2018,57.774,58.434,56.502,57.538,35000114.47
4/16/2018,59.8,59.932,57.802,58.242,31692439.52
4/13/2018,60.72,60.79,59.196,60.068,36636119.45
4/12/2018,60.464,60.79,58.736,58.816,38043844.43
4/11/2018,60.148,61.796,59.932,60.186,37414724.44
4/10/2018,59.794,61.42,58.736,60.94,55121299.17
4/9/2018,60.074,61.9,57.842,57.932,51249049.23
4/6/2018,60.2,61.856,59.1,59.86,67601448.99
4/5/2018,57.868,61.252,57.64,61.144,95605498.57
4/4/2018,50.556,57.674,50.4,57.388,99483748.51
4/3/2018,53.964,54.67,50.898,53.506,94221903.59
4/2/2018,51.252,52.0664,48.918,50.496,80569848.79
3/29/2018,51.298,54.192,49.642,53.226,75853753.86
3/28/2018,52.916,53.736,50.42,51.556,105007193.4
3/27/2018,60.8,60.854,55.436,55.836,69360153.96
3/26/2018,61.468,61.518,58.272,60.836,41875879.37
3/23/2018,62.25,62.322,60.09,60.308,33274494.5
3/22/2018,62.778,63.764,61.636,61.82,24698854.63
3/21/2018,62.05,64.488,62.038,63.306,29792054.55
3/20/2018,62.974,63.25,61.752,62.11,23821464.64
3/19/2018,63.3,64.15,61.934,62.712,37421464.44
3/16/2018,65.192,65.48,63.814,64.27,30586394.54
3/15/2018,65.876,66.57,64.22,65.12,32824004.51
3/14/2018,67.352,67.962,64.786,65.326,39836849.4
3/13/2018,68.984,69.024,67.2527,68.368,29829024.55
3/12/2018,65.722,69.442,65.3,69.102,41320174.38
3/9/2018,64.82,65.698,64.474,65.434,27533819.59
3/8/2018,66.572,66.66,65.2548,65.82,17831219.73
3/7/2018,65.088,66.5,64.348,66.46,25036484.62
3/6/2018,66.75,67.274,65.406,65.64,21428719.68
3/5/2018,66.478,67.55,65.8586,66.67,19118844.71
3/2/2018,65.396,67.044,64.594,67.024,25464144.62
3/1/2018,69.002,69.734,66.014,66.186,34428004.48
2/28/2018,70.514,71.048,68.444,68.612,30348289.54
2/27/2018,71.25,71.998,70.002,70.198,23987094.64
2/26/2018,70.7,71.8,70.471,71.484,21699924.67
2/23/2018,69.566,70.998,69.42,70.41,29086934.56
2/22/2018,67.106,69.488,66.95,69.234,34849039.48
2/21/2018,67.206,67.9386,66.634,66.66,16098244.76
2/20/2018,66.894,68.168,66.3,66.954,20047174.7
2/16/2018,66.5,68.624,66.328,67.098,28213184.58
2/15/2018,64.9,66.824,64.48,66.813,29564584.56
2/14/2018,64.168,65.234,63.704,64.462,19753714.7
2/13/2018,63.004,64.838,62.5021,64.732,22801154.66
